case,n_bus,model,cold_converged,cold_iters,cold_rt_s,warm_converged,warm_iters,warm_rt_s,iter_reduction_pct,rt_speedup,gnn_mape_vm_pct,v_violations_warm
case118,118,GraphSAGE,True,4,0.03397345542907715,True,5,0.035214900970458984,-25.0,0.9647465843387361,1.236530065536499,1
case118,118,GAT,True,4,0.03397345542907715,True,5,0.03282904624938965,-25.0,1.0348596535821926,1.1840198040008545,1
case14,14,GCN,True,4,0.03013920783996582,True,4,0.027889728546142578,0.0,1.0806561917625537,1.5342024564743042,0
case14,14,GraphSAGE,True,4,0.03013920783996582,True,4,0.026572465896606445,0.0,1.1342269835715504,1.5865825414657593,0
case14,14,GAT,True,4,0.03013920783996582,True,4,0.026873350143432617,0.0,1.1215277469724527,1.5352612733840942,0
case118,118,GCN,True,4,0.03327441215515137,True,5,0.036829233169555664,-25.0,0.903478277757278,1.1779429912567139,1
case118,118,GraphSAGE,True,4,0.03327441215515137,True,5,0.03319525718688965,-25.0,1.0023845264344866,1.2369170188903809,1
case118,118,GAT,True,4,0.03327441215515137,True,5,0.03453636169433594,-25.0,0.9634602639863037,1.1789377927780151,1
case118,118,GCN,True,4,0.03400397300720215,True,5,0.03513646125793457,-25.0,0.9677688586104646,1.1804320812225342,1
case118,118,GraphSAGE,True,4,0.03400397300720215,True,5,0.034233808517456055,-25.0,0.9932863002918092,1.2295303344726562,1
case118,118,GAT,True,4,0.03400397300720215,True,5,0.03536248207092285,-25.0,0.9615833226582885,1.1813138723373413,1
case118,118,GCN,True,4,0.03381466865539551,True,5,0.032950401306152344,-25.0,1.0262293421319209,1.2095340490341187,1
case118,118,GraphSAGE,True,4,0.03381466865539551,True,5,0.034332275390625,-25.0,0.9849236111111112,1.2811135053634644,1
case118,118,GAT,True,4,0.03381466865539551,True,5,0.03370165824890137,-25.0,1.0033532595238936,1.2108925580978394,1
case14,14,GCN,True,4,0.03551316261291504,True,4,0.027246475219726562,0.0,1.3034039201960097,1.4454318284988403,0
case14,14,GraphSAGE,True,4,0.03551316261291504,True,4,0.027474164962768555,0.0,1.2926020740226494,1.4979243278503418,0
case14,14,GAT,True,4,0.03551316261291504,True,4,0.0276639461517334,0.0,1.283734519223311,1.4464929103851318,0
case14,14,GCN,True,4,0.044409990310668945,True,4,0.037869930267333984,0.0,1.1726979689998616,1.3546943664550781,0
case14,14,GraphSAGE,True,4,0.044409990310668945,True,4,0.04039287567138672,0.0,1.099451068350844,1.4073020219802856,0
case14,14,GAT,True,4,0.044409990310668945,True,4,0.04199528694152832,0.0,1.0574993896934841,1.3557578325271606,0
case14,14,GCN,True,4,0.04378223419189453,True,4,0.03946638107299805,0.0,1.1093551777882489,1.3691588640213013,0
case14,14,GraphSAGE,True,4,0.04378223419189453,True,4,0.04157233238220215,0.0,1.0531579943452603,1.421748161315918,0
case14,14,GAT,True,4,0.04378223419189453,True,4,0.04749608039855957,0.0,0.9218073117718221,1.3702219724655151,0
case30,30,GCN,True,3,0.025842905044555664,True,4,0.025112390518188477,-33.33333333333333,1.0290898043273933,3.5419323444366455,0
case30,30,GraphSAGE,True,3,0.025842905044555664,True,4,0.025054454803466797,-33.33333333333333,1.031469463106408,3.4191348552703857,0
case30,30,GAT,True,3,0.025842905044555664,True,4,0.029781103134155273,-33.33333333333333,0.8677618464346615,3.539449453353882,0
case30,30,GCN,True,3,0.028289079666137695,True,4,0.027161121368408203,-33.33333333333333,1.0415284141781218,3.283637285232544,0
case30,30,GraphSAGE,True,3,0.028289079666137695,True,4,0.023763179779052734,-33.33333333333333,1.1904585130932075,3.169618844985962,0
case30,30,GAT,True,3,0.028289079666137695,True,4,0.027975797653198242,-33.33333333333333,1.0111983228082735,3.2813329696655273,0
case118,118,GCN,True,4,0.04553794860839844,True,5,0.035764217376708984,-25.0,1.2732824020372517,1.1704237461090088,1
